-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.101,  0.247
-183.798, 80.187, 0.213,  0.280
-183.795, 80.177, 0.332,  0.313
-183.791, 80.162, 0.452,  0.346
-183.785, 80.144, 0.540,  0.379
-183.777, 80.123, 0.627,  0.412
-183.764, 80.098, 0.801,  0.445
-183.748, 80.065, 1.017,  0.478
-183.730, 80.025, 1.254,  0.511
-183.711, 79.978, 1.460,  0.544
-183.693, 79.926, 1.599,  0.577
-183.675, 79.871, 1.679,  0.610
-183.657, 79.816, 1.724,  0.643
-183.639, 79.760, 1.743,  0.676
-183.622, 79.704, 1.743,  0.709
-183.604, 79.649, 1.728,  0.742
-183.586, 79.595, 1.702,  0.775
-183.569, 79.542, 1.668,  0.808
-183.552, 79.491, 1.609,  0.841
-183.534, 79.442, 1.555,  0.874
-183.517, 79.394, 1.513,  0.907
-183.500, 79.347, 1.494,  0.940
-183.482, 79.300, 1.509,  0.973
-183.463, 79.251, 1.554,  1.006
-183.445, 79.201, 1.598,  1.039
-183.425, 79.149, 1.627,  1.072
-183.406, 79.097, 1.645,  1.105
-183.387, 79.045, 1.644,  1.138
-183.368, 78.994, 1.623,  1.171
-183.349, 78.944, 1.590,  1.204
-183.330, 78.895, 1.563,  1.237
-183.312, 78.847, 1.552,  1.270
-183.293, 78.798, 1.564,  1.303
-183.273, 78.748, 1.594,  1.336
-183.253, 78.698, 1.624,  1.369
-183.233, 78.647, 1.636,  1.402
-183.214, 78.596, 1.631,  1.435
-183.194, 78.545, 1.623,  1.468
-183.174, 78.494, 1.622,  1.501
-183.154, 78.444, 1.631,  1.534
-183.134, 78.392, 1.645,  1.567
-183.114, 78.341, 1.654,  1.600
-183.094, 78.289, 1.659,  1.633
-183.074, 78.237, 1.661,  1.666
-183.054, 78.186, 1.664,  1.699
-183.034, 78.134, 1.670,  1.732
